0,1,2,3
246,291.0,224.0,344.0
718,786.0,902.0,879.0
862,549.0,700.0,802.0
875,639.0,808.0,
318,50.0,115.0,
842,839.0,928.0,
85,60.0,93.0,10.0
426,260.0,160.0,355.0
448,11.0,8.0,468.0
720,674.0,848.0,
553,904.0,634.0,751.0
880,939.0,894.0,787.0
604,727.0,995.0,
153,192.0,41.0,
90,402.0,226.0,128.0
520,837.0,724.0,559.0
704,888.0,501.0,944.0
940,669.0,538.0,997.0
870,905.0,600.0,
965,624.0,847.0,
768,774.0,701.0,794.0
684,659.0,864.0,543.0
892,962.0,753.0,
596,973.0,789.0,
952,706.0,910.0,938.0
376,161.0,327.0,
76,112.0,367.0,72.0
513,883.0,680.0,614.0
498,163.0,56.0,
490,419.0,116.0,261.0
762,785.0,809.0,836.0
230,84.0,196.0,415.0
849,887.0,568.0,
682,561.0,575.0,645.0
792,744.0,589.0,631.0
572,981.0,924.0,
621,983.0,954.0,
32,111.0,443.0,464.0
27,70.0,414.0,157.0
290,104.0,42.0,
641,728.0,942.0,552.0
417,280.0,377.0,366.0
629,662.0,554.0,
573,685.0,635.0,
687,821.0,579.0,899.0
556,799.0,812.0,
86,55.0,59.0,
955,691.0,736.0,666.0
867,926.0,781.0,855.0
12,140.0,305.0,
739,771.0,652.0,
710,546.0,846.0,900.0
735,628.0,814.0,898.0
851,863.0,714.0,726.0
932,733.0,779.0,
257,462.0,28.0,292.0
716,611.0,933.0,517.0
798,934.0,936.0,784.0
912,516.0,830.0,
218,190.0,365.0,
828,896.0,585.0,705.0
850,617.0,989.0,884.0
195,148.0,186.0,
826,664.0,699.0,815.0
613,610.0,921.0,574.0
567,640.0,515.0,702.0
790,844.0,803.0,860.0
98,435.0,320.0,39.0
741,622.0,963.0,756.0
144,96.0,173.0,81.0
99,80.0,335.0,456.0
531,901.0,948.0,512.0
618,608.0,717.0,626.0
957,731.0,813.0,607.0
307,401.0,381.0,301.0
927,502.0,648.0,
908,560.0,755.0,566.0
818,917.0,935.0,
750,542.0,958.0,519.0
507,986.0,545.0,654.0
730,871.0,916.0,
816,831.0,974.0,
352,34.0,164.0,373.0
646,620.0,759.0,
508,571.0,713.0,
283,244.0,193.0,499.0
893,767.0,746.0,
216,155.0,484.0,340.0
743,657.0,623.0,757.0
495,329.0,145.0,410.0
532,793.0,711.0,950.0
671,915.0,920.0,946.0
919,872.0,795.0,
304,187.0,172.0,450.0
804,523.0,817.0,709.0
500,740.0,988.0,747.0
583,732.0,698.0,
370,492.0,219.0,278.0
457,16.0,481.0,121.0
773,586.0,761.0,683.0
823,947.0,627.0,708.0
358,200.0,350.0,
581,647.0,637.0,692.0
476,133.0,303.0,328.0
633,907.0,970.0,
656,801.0,856.0,
371,258.0,9.0,89.0
341,463.0,297.0,149.0
897,667.0,678.0,
616,632.0,990.0,
929,810.0,504.0,533.0
97,17.0,342.0,294.0
649,578.0,876.0,760.0
835,911.0,925.0,510.0
994,528.0,886.0,
454,127.0,277.0,339.0
791,681.0,660.0,819.0
551,606.0,595.0,
602,565.0,603.0,
625,833.0,537.0,976.0
587,776.0,913.0,
295,169.0,455.0,
357,21.0,497.0,
470,137.0,422.0,217.0
529,806.0,841.0,697.0
694,594.0,,
243,298.0,489.0,334.0
